token,corpus size,all contexts size,frequency,co-frequency,specificity
neuronals,67100,10704,210,189,124.23
socials,67100,10704,182,161,103.12
neuronal,67100,10704,128,116,77.22
pesca,67100,10704,177,93,28.62
geografia,67100,10704,36,35,26.44
xarxes,67100,10704,676,213,23.56
transports,67100,10704,65,47,23.16
artificials,67100,10704,46,37,21.15
criminals,67100,10704,53,37,17.55
xarxa,67100,10704,590,168,14.28
ferroviària,67100,10704,117,54,13.89
tipus,67100,10704,113,52,13.35
social,67100,10704,155,60,11.28
neurals,67100,10704,13,13,10.37
profundes,67100,10704,13,12,8.53
llengües,67100,10704,10,10,7.97
artificial,67100,10704,73,32,7.91
sociales,67100,10704,31,19,7.91
neurones,67100,10704,91,36,7.40
commuta,67100,10704,22,15,7.26
xinesa,67100,10704,9,9,7.18
complexitat,67100,10704,15,12,7.14
jpg,67100,10704,43,22,7.11
aplicacions,67100,10704,43,21,6.38
feedforward,67100,10704,8,8,6.38
kochi,67100,10704,12,10,6.30
capes,67100,10704,34,18,6.22
arrossegament,67100,10704,35,18,5.98
diferents,67100,10704,92,33,5.75
taula,67100,10704,21,13,5.66
pesos,67100,10704,30,16,5.65
aprenentatge,67100,10704,59,24,5.44
malla,67100,10704,25,14,5.34
senzilles,67100,10704,6,6,4.78
coloms,67100,10704,6,6,4.78
fantasma,67100,10704,6,6,4.78
exploten,67100,10704,8,7,4.75
conjunt,67100,10704,45,19,4.72
definició,67100,10704,13,9,4.62
nodes,67100,10704,13,9,4.62
interès,67100,10704,28,14,4.62
cervell,67100,10704,74,26,4.53
processament,67100,10704,32,15,4.49
denominació,67100,10704,11,8,4.39
multicapa,67100,10704,11,8,4.39
php,67100,10704,9,7,4.18
pytorch,67100,10704,9,7,4.18
addicció,67100,10704,50,19,4.01
oldid,67100,10704,5,5,3.99
fluxos,67100,10704,5,5,3.99
